epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5921,1.94534,3.32878,1.54344,0.01143,0.61538,0.11839,0.04959,2.04854,3.33459,1.56908,0.00024,0.00024,0.00024
2,120.472,1.5543,2.48549,1.2855,0.01429,0.76923,0.34333,0.13318,1.45763,3.11997,1.23088,0.00049505,0.00049505,0.00049505
3,160.607,1.52669,1.8567,1.23944,0.0181,0.97436,0.33179,0.18272,1.40419,2.93716,1.26359,0.000744952,0.000744952,0.000744952
4,201.76,1.372,1.68378,1.17996,0.01571,0.84615,0.03034,0.01426,1.60908,3.57518,1.52898,0.000989706,0.000989706,0.000989706
5,243.848,1.31347,1.49317,1.14788,0.01143,0.61538,0.0096,0.00467,1.82963,3.98553,1.87465,0.00122931,0.00122931,0.00122931
6,311.714,1.33755,1.46614,1.15546,0.23325,0.08974,0.07627,0.0491,1.5326,3.14803,1.48879,0.00146377,0.00146377,0.00146377
7,390.447,1.31762,1.34824,1.1313,0.56465,0.33333,0.36792,0.19136,1.37457,2.45128,1.32322,0.00169308,0.00169308,0.00169308
8,468.863,1.26996,1.32902,1.1184,0.09686,0.64103,0.08641,0.04626,1.3226,3.01091,1.2944,0.0018614,0.0018614,0.0018614
9,536.392,1.27774,1.28774,1.10426,0.05508,0.35897,0.03448,0.01888,1.60372,3.92663,2.00085,0.0018416,0.0018416,0.0018416
10,574.018,1.31366,1.27941,1.11558,0.81522,0.67877,0.70681,0.40517,1.40474,1.81412,1.45215,0.0018218,0.0018218,0.0018218
11,610.864,1.27992,1.37179,1.1489,0.65198,0.78205,0.73784,0.39712,1.50416,1.40852,1.35412,0.001802,0.001802,0.001802
12,647.527,1.2315,1.2422,1.12831,0.78208,0.87424,0.88419,0.54047,1.21973,1.22888,1.26218,0.0017822,0.0017822,0.0017822
13,684.935,1.28637,1.22523,1.15973,0.46047,0.50336,0.426,0.24491,1.55304,2.33795,1.61753,0.0017624,0.0017624,0.0017624
14,720.315,1.17007,1.11185,1.07225,0.89485,0.85897,0.92233,0.55752,1.3263,1.20174,1.26155,0.0017426,0.0017426,0.0017426
15,756.807,1.12994,1.07995,1.05635,0.91245,0.78205,0.87085,0.56,1.37473,1.26881,1.45165,0.0017228,0.0017228,0.0017228
16,793.551,1.13566,1.02921,1.04991,0.89968,0.92308,0.95899,0.63595,1.12791,0.95087,1.14163,0.001703,0.001703,0.001703
