epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.6047,1.6912,4.22457,1.25088,0,0,0,0,1.03012,4.25503,1.0134,1e-05,1e-05,1e-05
2,11.0593,1.50222,4.09461,1.21279,0.00062,0.03333,0.00059,6e-05,0.98415,4.21016,0.99839,2.9703e-05,2.9703e-05,2.9703e-05
3,14.8494,1.41121,4.11946,1.16187,0.00078,0.03333,0.00303,0.00272,0.92464,4.17316,0.97238,4.901e-05,4.901e-05,4.901e-05
4,18.537,1.21137,3.99817,1.09751,0.0003,0.01667,0.00019,7e-05,0.95054,4.15375,0.95632,6.7921e-05,6.7921e-05,6.7921e-05
5,22.3077,1.09217,3.81488,1.0276,0.00031,0.01667,0.0002,6e-05,1.06182,4.15688,0.95583,8.6436e-05,8.6436e-05,8.6436e-05
6,25.9732,1.10722,3.77257,1.03432,0.02893,0.08333,0.04551,0.03206,1.06261,4.12957,0.95142,0.000104555,0.000104555,0.000104555
7,29.6348,1.1318,3.55682,1.01732,0.01658,0.1,0.04759,0.03862,0.98318,4.10037,0.93726,0.000122278,0.000122278,0.000122278
8,34.0108,1.03514,3.42116,0.95726,0.01751,0.21667,0.0678,0.06322,0.97864,4.04665,0.96026,0.000139605,0.000139605,0.000139605
9,38.1691,1.07597,3.33512,0.97929,0.01743,0.33333,0.09104,0.07585,0.94001,4.01586,0.93827,0.000156536,0.000156536,0.000156536
10,42.519,1.09708,3.30699,0.96104,0.01622,0.3,0.12606,0.10614,0.93125,3.99954,0.93262,0.000173071,0.000173071,0.000173071
11,46.3413,1.14738,3.24012,1.01089,0.01568,0.31667,0.13304,0.10717,0.91253,3.97653,0.92127,0.00018921,0.00018921,0.00018921
12,50.4853,1.05695,3.11658,0.99069,0.01531,0.33333,0.14531,0.11648,0.92533,3.96107,0.92604,0.000204953,0.000204953,0.000204953
13,54.4502,1.01822,2.85207,1.02469,0.01507,0.36667,0.13808,0.10328,0.93135,3.94713,0.92163,0.0002203,0.0002203,0.0002203
14,58.5661,1.07527,2.9131,0.95991,0.01804,0.43333,0.1542,0.11293,0.88674,3.90404,0.9075,0.000235251,0.000235251,0.000235251
15,62.3717,1.04754,2.71741,0.97691,0.01657,0.43333,0.18144,0.12631,0.89485,3.87975,0.90024,0.000249806,0.000249806,0.000249806
16,66.1554,1.0077,2.55731,0.96209,0.01754,0.45,0.27165,0.21742,0.90092,3.85052,0.89189,0.000263965,0.000263965,0.000263965
17,70.3528,1.03401,2.48909,0.94817,0.01758,0.48333,0.29016,0.24683,0.90733,3.82771,0.89066,0.000277728,0.000277728,0.000277728
18,74.4144,1.05786,2.28868,0.93042,0.02191,0.48333,0.2946,0.24387,0.91166,3.8326,0.88266,0.000291095,0.000291095,0.000291095
19,78.8595,0.98227,2.12961,0.94152,0.01871,0.5,0.30973,0.25651,0.94907,3.81194,0.87908,0.000304066,0.000304066,0.000304066
20,87.2139,1.10465,2.21986,0.94471,0.02109,0.53333,0.33475,0.26419,0.98699,3.78707,0.885,0.000316641,0.000316641,0.000316641
21,96.6351,0.96586,1.99832,0.92375,0.01983,0.53333,0.3554,0.26898,0.95873,3.74372,0.88483,0.00032882,0.00032882,0.00032882
22,106.16,1.04195,2.1146,0.95991,0.01746,0.6,0.35024,0.26225,0.98351,3.6996,0.89269,0.000340603,0.000340603,0.000340603
23,115.249,1.00654,1.9343,0.90811,0.01791,0.63333,0.37378,0.27854,1.02186,3.63758,0.89273,0.00035199,0.00035199,0.00035199
24,125.335,1.0803,1.71564,1.08053,0.01777,0.66667,0.40328,0.28243,0.99179,3.5505,0.89731,0.000362981,0.000362981,0.000362981
25,134.89,1.0094,1.73022,1.01018,0.01571,0.63333,0.40648,0.29093,0.99079,3.48856,0.89649,0.000373576,0.000373576,0.000373576
26,143.574,1.07563,1.69455,0.93221,0.96699,0.23045,0.40841,0.29908,1.02527,3.4435,0.90187,0.000383775,0.000383775,0.000383775
27,154.145,1.03487,1.59051,1.0081,1,0.09494,0.39306,0.30249,0.9896,3.3875,0.8871,0.000393578,0.000393578,0.000393578
28,165.098,0.99909,1.58614,0.94754,1,0.09494,0.39306,0.30249,0.9896,3.3875,0.8871,0.000402985,0.000402985,0.000402985
29,176.86,0.96229,1.50172,0.94464,1,0.08826,0.37752,0.29136,0.98395,3.345,0.8876,0.000411996,0.000411996,0.000411996
30,188.394,1.04696,1.56903,0.98811,1,0.12305,0.36397,0.28365,0.98794,3.28995,0.88712,0.000420611,0.000420611,0.000420611
31,199.62,0.9852,1.40524,1.03026,1,0.12305,0.36397,0.28365,0.98794,3.28995,0.88712,0.00042883,0.00042883,0.00042883
32,208.709,0.94705,1.38587,0.96089,1,0.19272,0.36531,0.28902,1.03227,3.2088,0.9019,0.000436653,0.000436653,0.000436653
33,216.694,0.99248,1.4287,0.97959,0.95248,0.23875,0.41994,0.33046,1.01704,3.04489,0.9048,0.00044408,0.00044408,0.00044408
34,227.406,0.89868,1.37947,0.94851,0.95248,0.23875,0.41994,0.33046,1.01704,3.04489,0.9048,0.000451111,0.000451111,0.000451111
35,236.771,1.01635,1.54632,1.00572,0.93306,0.25428,0.44001,0.35108,0.99082,2.93323,0.89681,0.000457746,0.000457746,0.000457746
36,247.44,0.92009,1.32456,1.01078,0.94738,0.25546,0.47067,0.36546,0.98932,2.91165,0.91078,0.000463985,0.000463985,0.000463985
37,258.889,1.02808,1.28173,0.96858,0.94738,0.25546,0.47067,0.36546,0.98932,2.91165,0.91078,0.000469828,0.000469828,0.000469828
38,270.673,0.96603,1.24355,0.94893,0.92785,0.28776,0.50058,0.38045,0.97763,2.91284,0.91235,0.000475275,0.000475275,0.000475275
39,280.697,0.95379,1.21629,0.94078,0.90594,0.26995,0.53386,0.39464,0.95216,2.90625,0.90274,0.000480326,0.000480326,0.000480326
40,291.71,0.92202,1.26928,0.92634,0.90594,0.26995,0.53386,0.39464,0.95216,2.90625,0.90274,0.000484981,0.000484981,0.000484981
41,301.716,0.94006,1.22505,1.00625,0.90268,0.29081,0.56171,0.40657,0.94718,2.85766,0.90248,0.00048924,0.00048924,0.00048924
42,312.714,0.97076,1.19526,0.93717,0.93034,0.29283,0.59446,0.43603,0.96864,2.80553,0.90957,0.000493103,0.000493103,0.000493103
43,324.175,0.91599,1.21554,1.00034,0.93034,0.29283,0.59446,0.43603,0.96864,2.80553,0.90957,0.00049657,0.00049657,0.00049657
44,335.293,0.95147,1.15246,0.95366,0.96517,0.26286,0.62393,0.46881,0.94628,2.70079,0.90656,0.000499641,0.000499641,0.000499641
45,346.355,0.87107,1.15074,0.91333,0.96517,0.26286,0.62393,0.46881,0.94628,2.70079,0.90656,0.000502316,0.000502316,0.000502316
46,358.002,0.91878,1.08992,0.91953,0.97912,0.26667,0.64161,0.48927,0.90365,2.59102,0.90188,0.000504595,0.000504595,0.000504595
47,368.285,0.89913,1.06996,0.9606,0.97912,0.26667,0.64161,0.48927,0.90365,2.59102,0.90188,0.000506478,0.000506478,0.000506478
48,378.538,0.89051,1.08473,0.90395,0.96285,0.26667,0.67597,0.52473,0.92881,2.49523,0.91489,0.000507965,0.000507965,0.000507965
49,387.804,0.83408,1.047,0.93352,0.96285,0.26667,0.67597,0.52473,0.92881,2.49523,0.91489,0.000509056,0.000509056,0.000509056
